关卡牌局代码,地形编号,开始次数,净过关次数,净胜率(%),ReplayCode,模拟胜利,模拟失败,模拟胜率(%),模拟平均步数,耗时ms,地形总牌数
9-2-4-22-1675091512,100086,393,91,23.16,DczLEQIxCABQIBDyISGfrcCrnp2xMJuxEQty7GP3FfD4ffyP+/P2eXwBkAIyiVAQBI4MEDAKKGnKUGpNxVrOvZdUVb0F7yO2aYSR50Dua2+R3dci9HkVAkRXhkhuXRGieRAxN4I4lIUA4fc6AQ==,70,130,35.00,117.0,3197,117
7-7-4-10-948620489,200024,393,196,49.87,DcJBDYBADATAbbfbXpHFizcCEIAANKAANajADwlkJpbp3J53nfcL5vgxPACXhbmHCciUlMw/nURGaVSR1oK6bZSzuivUmQPH/QE=,156,44,78.00,72.0,305,72
1-2-5-14-692635578,100031,393,321,81.68,DcfBEYAgDATAQAJ3SezAGSuhPocqHL8WZCU2IL9dG9u3n+9zzClSqlrrBilKjwwQSAS7FrTeuFgBOtOJDE84aqyY3NcP,200,0,100.00,60.0,207,60
5-2-2-21-272132929,100086,392,242,61.73,Dcy5AcIwDABA/bYSP5FtFqCFms1YhhUYgImoWIKU15w8L991e1xf9w8gsaASmzKIaUqU3bI7Stp2KHWre/NSTuSKqTsfqZlHoDD0JtzGPBCPOZva6mcCYCpERhpjMWusEYrSQtCIgAQMfu8/,199,1,99.50,117.0,2823,117
8-5-3-18-379350782,100092,392,330,84.18,Fck7AYAwDAXA5CWh6Ye2OOiAG6wwYwcl6GBHCbDccrotdo/jGudKDIAhAjWbVH+DkztTTIi5CGYGeZ2TFZtajUQeuKfWReSr0lRrzt4DPfsL,200,0,100.00,75.0,180,75
6-9-1-23-360764350,400012,391,147,37.6,Dcy7EcIwDABQS9Y3kSw7FQMwBgzEHaNw9KzAQqxDulc9eh732+X1e1zfDbATowCrmG/iuJMpnGCJHCUoBn0PH11YobQMmIOmY8u1DOfKmAiVtLN6+ZnlViQBGobJ5mNAMxvD2+f7Bw==,159,41,79.50,108.0,1030,108
8-6-3-18-1251529021,100065,389,124,31.88,Fcg5EQJBEADA+Xbn2xcvaCLBCYUFBJFhg0IAIUeHLdfT6/N+nu+3LyCxQMHKosaE6BRoVOJogeQISy8gYElsrO5ZsYa3/k8qI0BQ56qme2u2WZF09HAqa4kw91EBY7aMDZfHDw==,177,23,88.50,108.0,1072,108
6-9-7-17-575864526,100095,389,174,44.73,DcrBAYMwCABAIIRAgCRO5Aq+ncG93Ml++usa9X3H5/b97feRjwFSIeDKKNyUjKE37F4iMbm3FDT1AjrcVWqE0aQOHq9JvpeH+kJaUWXajCGmK7MZM1yfPw==,172,28,86.00,90.0,444,90
8-9-8-13-189417337,100072,389,221,56.81,DcNLDYAwEAXAt7+2b1tIUMQZIUjgjAoEIAEV2IJJxtdpv5/3uOYFoipqHqVUq+qttDASJsbUnkn8SWdEjBRRDESVxt6HAdv5AQ==,193,7,96.50,63.0,282,63
8-5-5-15-218143229,100083,389,185,47.56,DcixEUJBCAXAxwMOPtydxTh2YWhkNc5YhvUY2ZChbrh2P70un+ft+n1AqAbnUAokcoCHVJuQEuqNzJodKapL25xSpKHglZrTxzGWYLdGWXTA9tT1T984v38=,184,16,92.00,90.0,548,90
1-9-6-17-1986537133,100060,388,258,66.49,Dcu5EQIxEARA7exoXwn78sADiwhwqCIKIiIFguT8br4uv+P2uV/fjyEDykkRw/BIr2mq7K5SsajMNc00AbJDTxZ779WLqtIQEAntOmuUC9zJ8fz+AQ==,196,4,98.00,84.0,595,84
8-9-8-14-1120911656,100031,387,290,74.94,DcvBEYAwCARALpBACNiAMxbh2yKsykkrFmQlNqD7XzmWd72ee5uTUJghFdTUtBsXV2hjkQHvVUGDC8IjukVkmlkklEf7y35+,197,3,98.50,60.0,161,60
1-7-8-25-105968931,100063,387,154,39.79,BcG7FUIhDADQ5AEhXyC4iVtYWdp6jtvYuZyVQzjCu7e+Lr/v7f54ft6AR6nY4KDSEZlBWEkAoKOx4xGqpY5KQN1gLhzIqmasPEQaSMrMRNvLl0dEY95hsWeam6UnOcH/egI=,187,13,93.50,99.0,893,99
7-4-9-16-314847169,100087,386,58,15.03,Dcy5EQIxDABAvbYeS76EwmiCiCIohBoIrzGGnCtgVx7H7f46n9/zDYBILEiopIMFeJp5eK6q9mra2xLHCtfMRWkArVJWk7Oi0VdscCuUvhJzRfCw1VIXGRPKWBng8/sD,120,80,60.00,102.0,1233,102
6-1-9-10-506524915,100072,386,294,76.17,DclLDYBADAXAtu9TTiQkeEAGapCwUhCABFRgi73O8Fyu5/3GvW6RhUKCcsI0OyV1p4kAyi00AVGzHCLbnowqqOPYfw==,199,1,99.50,63.0,558,63
8-6-5-13-1598304566,100076,386,191,49.48,Dcc5FcIAEAXA/XtfVNRxwEMQLRUysIiAaCHTjb5u53E/f8/Pm0AMCCsbuUFMoBwmHp5c0dbXjHQkwVtGVRxJq9q+AzRdqZzNdVg7ifJ0xQw9vn8=,120,80,60.00,90.0,621,90
5-3-1-16-1315975034,100076,385,194,50.39,BcG5AcJADATAlbT67nFCTAsUREpEoy7ABbgWz/B73O/XfX3+P4gaFWKkuocgq91MzbuaZI252iTSkFPFU3RuSFgoQzzQe+2irgG4O6uyFTlM0OcD,183,17,91.50,90.0,780,90
2-6-7-14-1226952914,100005,385,306,79.48,FcWhEYAwEATA+ySfu3xCC9SARkI5dIZG0BUexbBmyzYd9/4+13LCkHKBW/GanDIZRKSm4opcYVRH6wG0HHQjOzWCoVH/Hev8AQ==,200,0,100.00,66.0,225,66
8-8-6-13-1178483373,100030,385,236,61.3,Fco7FYAwDAXQfF7TJikjGwNCmHCABhwgAGEoY6SM95yLfXqu5Z7fbSVmFlIUgVU0r3UwwjKKREej5FSXbu4RAHojN1ajAbc/0Xl8,173,27,86.50,66.0,197,66
8-3-3-13-2125672116,100034,385,59,15.32,Dco5AYBADATAbJJN7gEVmLkGWejAARU66OmQwtUzPtbves9x3LtAzQk3BU0ZmVpqo3m3KQtVIkAPdIfW3owh2hZHsUxYLZkzBWV7fg==,181,19,90.50,72.0,220,72
8-2-8-20-227107240,100097,385,222,57.66,Fcq5EcMwDARA8njgA4CP+3A5akCBClCmTO25DBfgcQ0eb7zcHt/r8zxf+ztEJJAQkVxYW4OquRthkG4uqq6eSh9thAlNMU5fc8AWSXPIEvmv7krmkmsN4T5+,200,0,100.00,84.0,408,84
5-8-8-10-1956769591,100037,385,127,32.99,DcUxDYBQDATQa6/t/aKAhAkfTHhBEAkDEnCGDXjLi3165vM9tvuCOYNE/mdphEaqxS6R1d10SqEwh1QRgJlnl1umShhY1g8=,187,13,93.50,66.0,321,66
8-2-4-17-1961266617,100079,385,198,51.43,DctLAYAgEATQmf2AwAJezWQPI5jCu7FMYge9v2f7er/bc50aIChqBicTzLMuRYDaSIa4ph4xpkwfQSO0d9f4UR3lP602E0FZUswMHB8=,126,74,63.00,75.0,304,75
8-5-2-14-324400848,100055,384,248,64.58,DcqxEQIxDATAk+4syX6LthiGEGqhCcqhMjJCPtyZ1fPy+n6uP9xvMKccgkyk0wciSzQhzYKcWJPnOkx7RPeqyAZOu2cfuzIq9nDWspqtbOHx/gM=,182,18,91.00,84.0,554,84
9-5-9-21-801754513,100097,384,108,28.13,BcFJFQIxEAXALD+d7XdWZIycMcCNKze0oAgZCOCNBqpw3q7X73h+7l9jnQeCREiSXMTbCipJrWzaVamjKZw1AslOYLR0TZFzhTb23iOGNVnSmpVd4DPEvB9/,33,167,16.50,84.0,273,84
5-8-9-12-1570739582,100038,384,282,73.44,BcFJAYAwEAPApN2me6AABSioFh5YRABvdOCFGVvbe+h7Tr/Bxm5DmHSFlOyEOlgRIVfTHIgAjWnFUo7pDdf+Aw==,200,0,100.00,54.0,128,54
4-4-3-19-747952235,100063,384,130,33.85,Dcg7EkIxCABASOABCZCPp7KytHXGwzhjZ++5rDyMbrl0P30/58v19noClkqVy8GiKtYIlaHTv8gjO/NgQ1UuFcXmpEN0LZLYBYhNCuByqy0iR9npMDy2Q6YfljNa7UjweP8A,74,126,37.00,99.0,852,99
7-7-2-17-1445757522,100084,383,88,22.98,Dci5FQIxDAXAr9uS7PUWQH2QUwVdkPMogoDCYMLR6/l+Xb732+MJYmIhUmETBpNrDM4ADFHu1dKVhP/Odey9JGO2eHZV5RFh1OmzKQ9WhSbDzIbDcxB7+BoxNj74AQ==,92,108,46.00,102.0,3476,102
3-9-9-16-1271865494,100013,383,247,64.49,BcGxAcMgEANAAYIX4skiKVOnT5ud0nsVT+M1vELu+Hncr+s5zu8PpTayj2CICGmSxQ2qmjACK3fE9rLgnGrsdMnhBPdSJka11XG8/w==,178,22,89.00,72.0,316,72
5-2-7-13-1079500226,100050,383,195,50.91,DcK7FQIxDARAfbxrr2SKILkSSOngsgvojZBeaAvezDhv1+P+fc3n2zz+LAeIuShl2lB4ktXYAkUPDks3hgsF7TVLVZ0eMt/d7LkKDdjn+AE=,194,6,97.00,78.0,1139,78
6-7-6-15-379926431,100058,383,174,45.43,DcS5FQIxDAVASbasr8ubUAfV8GiBoqiAjJhS6ISMnWDm7Xhefq/r/f0lljHPdJxksYqBHABHVmSW14whnssMbb0Re0ebKkgYy8s5u10je8JKi4genz8=,171,29,85.50,84.0,935,84
7-1-3-20-1392083722,100095,382,272,71.2,BcG5AQIxDATAXUmW5N9URAsXX4O0Qg1EZLTBjN2P7+/5uuanghQhARUzLRA4YBLIpHolvUF7mOcgxxSuLbL7TExIlKoep9XcNnhWX2A74VrCEm/7Aw==,193,7,96.50,90.0,670,90
3-9-7-8-125568920,100009,382,211,55.24,Y9Hi2H4++ryoVGg2AyMTEzMzCwsrKysTMwsTEysbCzMrM5BiYgCKsDAxsjMzsLCxs7IzMuxfBAA=,200,0,100.00,42.0,119,42
2-1-1-11-1795143098,100088,382,255,66.75,Fcw7AYAwEATRvb1fcrhABBoQFG+0lFhABwUtoZvmje2Lv8+5HmMDhAoTukA10ixbb3T8HaXWCGdUr3RxU4pnrxJSJo1A5TwAuK8P,199,1,99.50,72.0,1989,72
9-5-1-13-1849290676,200015,381,184,48.29,DcaxDYAwEANA2/9O8lRsgYREm5KacRiG0RgIrrqcy3Y9730eOyhFpgOt9yb7v+UBDNNBFCPUShyV4Q6JKaz8AA==,148,52,74.00,54.0,273,54
2-2-7-13-2015419608,100056,381,313,82.15,BcFbFUBQFEDBfc89bxW0sJYy/jRQQglhVBHFjO7L892bnevFAJmouQ81hDmRMB1OBklQFd3RVdmdnVFU8h4/,197,3,98.50,54.0,396,54
7-9-1-14-1182868515,100079,381,227,59.58,DcpBFYRADATRJN2ZnmTXAJrABCZWxd6RhRI8MHX8r7h/rme7/z98zVcRgTBGWmJ4apYXGxpGqEvqJawW00vg2iiiq7IwRY+GDTuPFw==,199,1,99.50,75.0,941,75
8-5-4-13-160560200,200013,381,228,59.84,BcGxEYAwDANAJ5KtOAkV63DHFKxCyQQ0TEbFPvxzXx4d63benxWroDOAkLyl1DFQ04MjfWZ2zOhyWZtZDSCDBWFleDN7rx8=,180,20,90.00,63.0,180,63
8-3-7-16-1301033270,100057,381,189,49.61,DcrBAUAwEETRmWx2IhFRCEdFuOlAGargph61yfW/H/d5e47lu9cXBINZdKcSOGQro1VhSJhcY9RkkHdopCuxqUdXsJL7wFwQ3FutuM4f,108,92,54.00,72.0,555,72
8-7-9-21-577603989,100089,379,212,55.94,BcG5EQIxDABAPbb8niXbIqAUhgoogTZogowuCa8AMnbD6/L4ve+36+cEJODAUTBlKLUwAQq0wCFnFMoCPZZS+BiKxjanppVq5U0TBDjqsrHnduoWY1nxOMZocy3J24ibO6qbg/rIfQ2de8P3+Qc=,157,43,78.50,114.0,1170,114
4-2-2-11-1176758919,200015,379,265,69.92,BcG5DYBADATA9do+PxSChER64cWUQzGUQikUxIzNbb+e717nAQGVMKWPCMkSlALhMozloCRpMUS7lRFAahPr/QE=,183,17,91.50,54.0,225,54
7-3-4-14-988228616,100093,378,113,29.89,FYfJEYNADAR1LdLq4EsU5AQxkJHfDsB++uuoEFVTPd1yrL/9e73/rxMQkICBmwg97u6U51gQkfDxMZaxqE1v0eHqkRWW1jJdJ6mXVUZJZpWwZASTGcH2uQE=,88,112,44.00,96.0,17288,96
8-8-4-15-1627848957,100048,378,269,71.16,BcFREYAgEATQXbhb4ADHKGawkgWsYgVD+OOMmXzP9uVZ7/i26wABkAmZRoeTLmblYvDqEFNqVkzRrYc05GrWh2aZY9ZAbXjPHw==,189,11,94.50,66.0,439,66
3-9-8-14-1228365397,200007,377,45,11.94,Y7HkrQ061fxM0+woAyMTMwsrMxsjKzsjAzMzCwcHKyMnBwcXKys3Nw8PIysTFxczFzsDExsnFxcHUIaFh4ubiw0kdPoOAA==,112,88,56.00,57.0,145,57
5-2-9-15-1270956064,100016,377,263,69.76,FclBAYAwDATBa5s2yaVoQAES+CABE6hABNIQgQIMUPY5K9u0vPs5H8+KlIugStOWxJwMd1o3WqQAIFndgrXEb33EsZpmulupAsF1fw==,198,2,99.00,66.0,320,66
2-5-5-13-786541764,100020,376,192,51.06,DcjLFYAgDATAQD4sWWzFInj2Yn1eLMAOpCKd49jcjnOt+/JXSlVTD7cWgl6TGaFgBaVpcSbMh3KkYeQfLTqMSNJBQw/Znw8=,179,21,89.50,66.0,247,66
1-2-7-12-201030718,200015,375,110,29.33,DcmxDYBADAPA5BM7DosgvURLSc047MAKjMZAcO3lvqzn817HNs1H5ABRAEdAEJtSQyqKJlT+5WwxuxHeMJv3Bw==,186,14,93.00,54.0,352,54
4-1-2-17-1734448522,100043,375,275,73.33,DcW5AcJADATAlVan+3RPZURkTlwRCQ3QFlU4dAqTjD32+3h99nV/IUoVUAn7L5LoLmY5i5RSQM+V1NZ61Ig+WtU+wqFAmi4j1lpzBp1IqjifPw==,200,0,100.00,78.0,674,78
8-5-2-18-1936776934,100096,374,168,44.92,FcarAQIxEAXA/W/yskkOcx3g0HSBoQIk9VIRMGrsdZz38/a5Pt/EoiRsyk7+b5CSp1qTzrDh7iKiiM7sNRGWUeN30YXssbEmEtaqlNgy5yYtH4SKtrDpcfkC,184,16,92.00,96.0,1943,96
9-3-9-10-655546649,100023,374,272,72.73,DcJRDYBQDAPAbmvfNiQgBCnIwBUm+MQCCcENkDsu0/ru13lvD2DuAaN+NrLCszXcRjNhcKLUNJHdCqlLdMzHBw==,174,26,87.00,54.0,216,54
8-6-3-15-398307767,100020,373,227,60.86,Dcu5EYAwDATAO8mS/FKUh16oj4Q+cDOkON9N8zivtZ7bXlA0wSCkejBHqd56yDCPWktHlpaTBjcw7cUbBsVtJw8zDgW+Hw==,191,9,95.50,66.0,137,66
9-4-2-11-1160036539,100009,373,213,57.1,Y9Hi2n4++ryoVGg2AyMTMwMzIxMLKxMzKxMjGzsLAxs7MwM7BysjJyczIxsjCxMDMycHEwcDw+0pAA==,196,4,98.00,42.0,80,42
3-1-4-23-1720570151,400011,372,147,39.52,Dcq5FYQwDAVAH9+yBZbkg5yeCGmKvjbZDLrZt0w8OLcd39/nug/nfIhIlAsxlhV1FdYEtxjD2CxyEA0cWTXD9B2pci3FOBuRqalXNOljNJlEXVofUyfEu2f7Aw==,142,58,71.00,90.0,860,90
7-7-6-11-1381381085,100047,372,131,35.22,DcdLDYBQDATAdrv9PTwgAAFoIEEGB/zgAwn4QQZkTsNtWt/rWO59FgUEBqUTaoiMKC2mOrx6FKW9xg8yKqMNmX/DlHQL8+5sEXnODw==,117,83,58.50,72.0,1008,72
5-8-6-11-2106507593,100041,372,236,63.44,Hcu5DYAwEAXRPf6etEEjEFEk3VAScuAMi2Cklwyu7VY+x7sfxCJMCtM/UbdwLAZCI8UrmghVLmbtVUyd62B4JxjRqZXZNJ8P,167,33,83.50,72.0,305,72
1-5-8-17-1129978928,400015,372,182,48.92,Dce7AcIwDAVA/Z9kW2mZhDHoqDJLJskGWYiSSSjIdWf7dv6+1+fxPohFzQMB0sws0ZE23AZC4Bw5RRezErUbGh5uokzClKu828rCoqLmBOpuu1egFj1ffw==,162,38,81.00,90.0,921,90
1-6-2-25-557547251,100061,371,227,61.19,Dcu7FcIwDABAJbYkS7L8Z0U6xqBkCSreYwQahgj7kPKKi9fL47j93s/7C7Z9CzFCRCA8wRgIkigDEehumYBYg5hL0WqYm/eehs3lxojJRTsScS5JpJ1VfdkckGYti31UbAgA388f,174,26,87.00,102.0,868,102
3-9-1-12-1979992826,100074,371,311,83.83,Hco5EYBQEATRPWZmF0NYAHmooEgxQIAaNBDxi7DrNebpPo93fa7NPBKgygwkJGaIo+XV4CAU6KhmKTr/BbYvHw==,200,0,100.00,54.0,247,54
7-3-1-18-861764476,100007,370,129,34.86,Jci5EYAwDATAk3SyLT9E7oUKyOmGtmiEFkhpA2bYcLkt4de+HucNAfQHUyiNJg5XJeQrTxlWojZKH+4Sw6Kx1NKl58zmKY2KZ74=,124,76,62.00,69.0,248,69
7-4-1-15-870422151,100090,370,224,60.54,FYfBDYQwDATX603sJPflRRG0QAuUh0QblMKXWshppBmNjt+9Peu17CfMQBcpkP8xlGqa9UkETQqhFjlolICYV0vWbDHNPkoO75Et+2iO/n4=,196,4,98.00,81.0,921,81
9-3-1-12-1482812358,100023,370,243,65.68,FYpRDYBQDMTubtvbMIQGFCADC6jBCBZICG5g/DVtfZ7W97jOe3tASTDAPEgCkI1si8o/NWiUi55hYNTo27AvHw==,186,14,93.00,54.0,266,54
8-8-1-17-492802249,100075,369,281,76.15,Dci5DYBADAXRb6+vvRB1IUJEEyRkVEJlNISzNyPHcn3b+d77A+IirKxGKgZnhDOFOHsop9WUSu6aUFCRJg0GofBovQ1DTcXoGXOgTp+w9Qc=,186,14,93.00,84.0,3071,84
4-6-7-20-1656133456,400017,369,262,71,DYm7FQIhEAAXDlhY9gdYgpF1GZmbmNiEibXYwVUlycx7M+l5+T3et/vnekKI4YC4meIBEHPYyiFBKlhqo87M0muTRlWUajfxPTIOn9jbqlyUSFA7YXO05TrXmLqmdl8ytJmXuYMxD7WFBYfB6/sH,189,11,94.50,117.0,923,117
9-1-4-14-1886100766,100014,369,283,76.69,HcRJEYBADATAJJOdHPwwsFUI4IlOpKAEK1igoB/tx7LVfs51XqKffxMzCAwODOqQyApyuBqD2W3IdtEqyv28,200,0,100.00,54.0,162,54
6-4-6-14-82999278,200053,369,264,71.54,BcFBFYQwDAXA/OS3adKWA6p4eMMBBvDBnSsWVsUyw235re/13P9DBICasVT3ViWcCiGyF+2mRVUCDZRm1Q0xMMegJbs7Z0YGgzlT9vMD,200,0,100.00,72.0,346,72
9-9-4-15-1732106655,200007,369,86,23.31,DcsxEYAwEATAy/0l+U+CEAwwgw38UKGNBiEIoKaA7VfrtG/Xcc/LiUTASGUrOTNVwTyikd6HG9QLZWBp0YE6pNHqfwzv8wE=,171,29,85.50,57.0,440,57
8-3-7-17-693588558,100050,369,210,56.91,Fcu5EYQwEATAfaQZ/SIFksAlAzwMcsMgmatLi6L9Dsdybuv/4n6LmpupBo3uBlKoYh5TgDOXyiYdVqJokmwOAg1jzFp75xcVgW2UzImZ5Pe8,192,8,96.00,78.0,860,78
9-5-4-15-1700442060,100004,368,212,57.61,BcFLFYAwDATATTZp06+iiuCCHrRhgce5B5QwY2u+3/Fce54QJag0OpAoEOZAqVJr69IatGSFaco6+hjuweiFTGLAvX8=,149,51,74.50,60.0,159,60
7-4-4-24-538672469,100065,368,132,35.87,Dcu3EQIxEADAM/LmT140Qld0wpBRFRG0wVAAIWy+6nJ6fd6P8+36BSRmQkUE2iCyRgDrPJoQU+aDJReurvVEw87lc/mHemA5TNp9RmG3e3PCMAhEhSJ+OTswtp1AhblSLSU50QRM8Lz/AA==,149,51,74.50,108.0,1078,108
6-1-1-20-1734042216,100060,367,283,77.11,Dcu7DQMxDATRXVIURerj1H0480WXuAIDrsKdXZGnYJIHTPk+ruf7f7x+JyhUEDspVr0FkK5mfdBLZFavTSQlu83BgWlRoJvW2uPsdIN6KkRJFYILn7gB,197,3,98.50,84.0,484,84
2-7-8-19-2027730459,100013,367,282,76.84,FcmxAYAgDATAhITAAwH3sHQJW3dyIOdwANewtFWvPV2ne7lmO7adiIOIRmIyk8TZiESMVTJQagCafxrce3VkVkMZI/7X3HpC7CM50/m8,199,1,99.50,72.0,277,72
4-4-3-16-1278520265,100037,367,316,86.1,Dcq7FYAgDAXQBMILEH6lhaNYuYsDeY6FI7iZhUtId4sr+3iW8z22+yJm57xQcGFSmCmQF0DVI6ZsBFipubWqsN66FZhG01Q7ygwK+tYf,181,19,90.50,66.0,220,66
3-3-9-12-911021224,100038,366,148,40.44,DcZLAUBQEAXQO+/d+QsigQRCqCOQANZy6MJZHW7Ls9p7H3FBxqQaPJKsYrOrgS4Af4nRIZac6q6z0iQ4gHP/AA==,118,82,59.00,54.0,112,54
4-4-4-13-2057398036,200010,366,203,55.46,BcE7FYAwDAXQlzbfJghi6GFCBPpQw4QGZDDBvbwu+zvP+/kuEBp1FjWXCBd3F1GlMSiiSzI6E2xUNo3QplUG8gSO7Qc=,191,9,95.50,57.0,179,57
4-8-8-14-1790054387,200012,365,201,55.07,YzHjE7kyu6hX4fN+BkYmZmYWZgZWNiYmdnZWFhYOVkZOLlY2Rk4GBnZubgZ2Dm52bi4eVl4uTl42bh4GXh52DlZuhkgXAA==,200,0,100.00,54.0,122,54
5-4-2-21-1004160245,400012,364,190,52.2,BcHbDQIhEADAfcICy/E0sQCbMNFa/DaxFHPt2Y4z8rk8H9fv7307AQlYSIOwSmQ1SsFSBOIcSkavLmiHWHbKRADQPGk/dJRss7aFMveYhm1wqRryEYk2r+C9e1i6OSVDU2XjBK/7Hw==,193,7,96.50,108.0,1081,108
8-4-4-18-1875781577,400017,363,146,40.22,Fcu7EUIhEEBR9s/CwoI1GFmXkbmhYxN2YwHOWJXP7Abn8v30vj0v19f5WwCRGIhFFFgZqZiKFKsO2Jzg6N4CGNVMB1Xv9keOs82pLJwGqaP10sh9DYLBuIM4ZmgMTsa1UyXH2jWOSRLK5/ED,165,35,82.50,117.0,679,117
1-5-3-16-70180995,100080,363,219,60.33,FcRRDYAwDAXAbq+vXTeGJb5IZocfBKACMSjBBgaA5HK6zsd5P9c2hiRJOWWI0rKzBGqjuoVPof8O+zSzUgklO60A1XpHTE1Basi+vA==,162,38,81.00,69.0,785,69
1-5-3-16-1523520461,100080,362,254,70.17,DclbDYAwEATAtrt37faBC6SQ1A4WUIEYlJCgAgMwv8NtOc77vfY5QwwpIjIwGR25qLakWnsZXiD3BjMfw425ExSUjep/SOYQQIb1+QA=,194,6,97.00,69.0,1017,69
7-9-8-21-327000585,400011,362,179,49.45,BcG7FQIgDADABBIgCYSvtTtZOooLWLqXjZ3j+Lyj++VKn9/79b0BYoiBkIkw5UylMIkamwojUm3RvctQD5bGXBtsQYnqmvrux3Y2ENA6Tqvuzf3Icp6TBeD5+AM=,182,18,91.00,90.0,429,90
6-6-4-17-1173514727,100061,362,148,40.88,BcFLFQIxDADANM0/TbprDgnckMERE5x4DzsgBAfM0PV8fG7f9/P+goEDJxITTBZGUhFztXAEU50YEuK5ZJmNYurdUl5r92hnkRwzkFYrFVqBwzhy5TFXalRyxz4QJlx+fw==,183,17,91.50,102.0,722,102
8-8-3-11-1311554159,100081,360,294,81.67,Hco7EYBQDATAXH6XPAwgARe0NJhACoNF7DAwVNusb9P83Oe+XhAAovprYvDI9EQyVASaJCoIqrVlM0d4D9LNvhhdo6ju3XIsLw==,200,0,100.00,72.0,986,72
7-6-8-13-1642855039,200013,360,319,88.61,DcGxEYAwDANAK5HsOAkV63DHFNRswRQ0DMc+8M99eeJYt+t+DbBiqNUqUH40ORnNMyVlH2RmFseUa8yQ9Ta6Nw9K03B+,200,0,100.00,63.0,229,63
8-9-2-14-2100026606,100033,359,228,63.51,DcYxAYAwDATAT/vJtyk7ZhCAGlbsoAIpjIx4YIObjst07Nv5XvcKWDFUetBQZJTX6vjbejYNwxApqgfoI6O5aNlFOObnAw==,169,31,84.50,60.0,322,60
8-4-4-11-196128384,100047,358,214,59.78,JcZBDYBADETRabvttsUDArizGkiQgSME4ABfyKCE+ZnktW0az3ks9z6DCCwV1X4BjZQgxtKl7GoSHg2c4ZlST2P1bmER+kGBa30B,198,2,99.00,72.0,1044,72
3-7-2-21-1901610678,400013,358,145,40.5,Dca5AQIxDATAlWx9Pvv80QgpndAAEQl9UAw5zcFEk5+X2+dx/cb7DuKURc2FNEo5YKzGNRobopnWXI5C5K7yT67KLZI4c7jATycLZXhSJzqtm5GeNCaw1hCRPRbPKR27b+C1fg==,183,17,91.50,108.0,3018,108
6-7-4-16-1594508494,100092,357,238,66.67,BcFbAUIhEARQGIadheVhBD5sYwCb+G8Sk5jj1rnn8PWo1/n8z++ZMgpZTaIAcziam8ETnLmaq0cjNKZGEZeWEauJeyT2PSNm2T1q5Ejf9w0=,178,22,89.00,75.0,233,75
4-7-8-8-1908544929,100040,356,204,57.3,DcgxFYBADAPQpmnSk3MLDtgRwEMCI8rwgwFMwB9/zfGsy/Ze9xHIZJUAqBh0dyXFTlIy2GCW/7Stjjj3Dw==,180,20,90.00,48.0,353,48
9-9-1-18-1182825082,100071,356,283,79.49,DcxLDYBAEATRnpnu/eOGoAENeEEAZ1QgBznc2Gu9pLgvz7sdy3etMA8qUvZMhKhSUSw8W259NBt9THIYA1AVYa17omrMQDGS5qDgvH8=,189,11,94.50,72.0,567,72
9-3-4-19-1837840585,100078,355,153,43.1,Jcy5DYAwEADB+/yfP/qgExJETgHEpNRAwSRgIW06K+t0Pte+zfcCSIwg/EVirPMhJs2FVS3V1nvToDblxIK5sUSqoVeNBphKQYFB0XjnPP0boOMF,108,92,54.00,81.0,712,81
6-5-3-13-1593206140,100046,351,248,70.66,BcGxEYAwDAQw+/O2Eyf0rJKKAeCOsWiZhEWo2AiJczn281q3+xNFocHDAvTaACFRLK33jBw9WAhohHqrw93cpA40eZ8f,200,0,100.00,57.0,153,57
9-7-2-10-1640169434,100033,348,314,90.23,BcFBEYBADAPApE2uxRMCmMELX+ycCqTwYvDBj12tyzyP67vfDQwwEWJaCsuQPFRhV0NVQYDIbBMxNEx2OVmJ/fkB,200,0,100.00,60.0,361,60
7-7-3-10-1360408560,200015,338,170,50.3,DcuxDYBADANAx3HyCYsgIdFSUjMOEltQMxoDwfWnbZqP5z33dYEBIF3GcDGTAzKVvAa8RUvl8FBmyzocVv+47g8=,200,0,100.00,54.0,287,54
3-3-1-18-817642914,100051,336,72,21.43,DchHAQJADATAlM2lXEUDEngjCCnwwQIaUAjzHDwu7/X63O54EouqwBq7kgkxPMjUPUMbB8RcC72Tj6BSmFSgSU9Jrjn+HzncHF0JPHPFlj7XKeE4p3jHys0gpev3Bw==,163,37,81.50,105.0,1177,105
6-9-4-10-827911592,100002,334,206,61.68,Y1HnsjrKMfF9W+RuBkYmZgYWVhZWNnYORgZmTmZGBkZmRkY2DnZ2Vk4mDiZOBqA0GzNDmC0A,200,0,100.00,39.0,51,39
8-6-4-14-1974112391,200010,332,54,16.27,DcK5EYAwDATAkyzLemz6ISCkUqohcgkMZRABOyvrsj/bMe/3BIj/hSBArdqUrBAz4NoiWx+m0ZVYpDAyqo3RXdNxzQ8=,67,133,33.50,57.0,110,57
3-9-3-12-811657363,100026,330,83,25.15,BcFBEYAwDATAuza5tAkCEMCbZ20hAJ/YYHDArq1tv473fL4bROvmEuUQGGMqAiNLSLhIQ+VsfUDsTbNoJHL9,196,4,98.00,54.0,166,54
1-5-3-17-1256484989,100066,329,153,46.5,Dcq7AcIwDEVRyX6S9YuzVDZIQcUQdCyUNiMwEhUD4Fud4uK5H+/P+f29buLGHdK6dvBoakwkY6ibQILdMymqJFwti8q5AMlYn4puKYRiU1qcDuEVacwtMGH0uP4=,197,3,98.50,93.0,2472,93
